"","dataset","n_intersect_all","n_unique_DESeq2","n_unique_RADeMu","n_unique_ALDEx2","n_unique_ANCOMBC"
"1","1_species",29,0,6,2,11
"2","1_genus",23,0,1,0,1
"3","2_species",27,4,4,5,12
"4","2_genus",25,0,0,3,3
"5","3_species",30,0,0,0,0
"6","3_genus",16,0,0,0,4
"7","4_species",26,0,0,0,0
"8","4_genus",20,0,0,0,0
"9","5_species",30,0,0,0,0
"10","5_genus",23,0,0,0,2
"11","6_species",35,0,0,0,6
"12","6_genus",21,0,0,0,2
"13","7_species",21,3,9,7,14
"14","7_genus",28,0,1,1,1
"15","8_species",35,7,1,3,3
"16","8_genus",37,2,3,0,5
"17","9_species",30,0,1,1,3
"18","9_genus",16,0,0,1,7
"19","10_species",34,1,3,1,1
"20","10_genus",19,0,0,1,3
"21","11_species",27,1,4,3,4
"22","11_genus",24,0,0,0,2
